period,config,trades,pnl,win_rate
2023,ORIGINAL,249,-10693.920000000187,33.734939759036145
2023,OTIMIZADO_TOP1,428,-5333.77500000014,38.78504672897196
2024,ORIGINAL,272,8167.060000000347,34.92647058823529
2024,OTIMIZADO_TOP1,452,1559.9499999995169,41.150442477876105
2025,ORIGINAL,216,26203.660000000033,42.592592592592595
2025,OTIMIZADO_TOP1,375,20288.04999999996,43.2
